age,income,debt,loan_amount,credit_history_years,num_late_payments,num_credit_lines,employment_years,debt_to_income_ratio,default
47,125609.81,85192.62,8212.47,8.1,0,4,3.4,0.6782,0
18,15698.44,10849.09,17139.0,6.6,1,4,6.5,0.6911,0
42,74723.2,35641.84,19451.46,7.5,0,5,3.3,0.477,0
32,40455.13,18591.03,19015.16,13.6,3,4,3.3,0.4595,0
50,60035.92,39053.14,11586.68,11.6,0,6,13.0,0.6505,0
30,34159.74,21488.1,2795.96,8.1,0,6,5.3,0.629,0
38,21906.54,15599.3,6411.88,24.8,0,4,4.0,0.7121,0
46,56983.88,25198.16,41615.04,11.0,2,2,11.3,0.4422,0
50,53780.09,41632.12,15516.44,4.6,2,2,3.6,0.7741,0
25,65070.99,51856.21,10321.48,1.9,3,2,19.1,0.7969,0
35,36026.76,3358.98,32680.53,11.7,2,4,2.6,0.0932,0
34,25339.17,17221.39,5409.47,6.8,0,4,5.5,0.6796,0
32,14253.07,5699.2,11155.87,3.0,3,9,8.6,0.3999,0
61,59374.73,18409.32,14916.25,7.6,1,7,5.1,0.3101,0
44,46832.55,22969.39,9385.28,12.1,3,0,1.8,0.4905,0
24,20343.78,910.84,14481.25,7.3,2,6,7.5,0.0448,0
51,26287.68,10650.95,11497.04,7.9,4,3,7.0,0.4052,0
65,27445.15,19121.38,4361.3,1.8,0,7,8.5,0.6967,0
52,14916.29,2547.24,15447.19,11.7,1,3,1.0,0.1708,0
21,22234.28,7584.38,4616.16,2.5,3,4,10.5,0.3411,0
34,18392.57,13823.57,15252.4,5.6,0,4,14.6,0.7516,0
55,28353.69,9721.09,40107.1,9.5,3,3,3.3,0.3429,0
31,23313.35,6683.8,10669.89,4.9,0,4,17.9,0.2867,0
45,13681.46,4821.75,5233.38,5.6,0,4,3.0,0.3524,0
49,122217.09,50788.8,12069.17,9.3,2,1,8.5,0.4156,0
28,76997.21,38929.26,6866.59,9.7,2,8,2.3,0.5056,0
39,22756.1,14576.52,21495.68,8.3,0,4,20.5,0.6406,0
18,42764.04,15466.97,11868.1,1.6,2,9,6.0,0.3617,0
27,46652.37,30509.94,52460.23,2.1,0,1,12.3,0.654,1
36,74209.8,31685.84,33873.62,13.6,1,5,7.3,0.427,0
25,22221.98,6017.37,11819.85,6.4,2,6,11.3,0.2708,1
59,69930.98,36808.92,23682.4,27.2,2,3,14.4,0.5264,0
22,26140.91,15009.53,9753.79,9.3,4,6,9.0,0.5742,0
34,16292.86,7273.77,13727.63,22.1,2,3,10.7,0.4464,0
41,56077.05,2539.84,10005.12,7.2,1,7,22.6,0.0453,0
57,78783.2,10707.13,24665.6,5.9,0,4,5.5,0.1359,0
22,171569.79,39158.78,42040.58,11.8,3,2,30.6,0.2282,0
53,17679.57,3997.36,25309.08,15.2,1,2,4.2,0.2261,0
40,55234.98,29757.11,27932.59,7.2,4,5,6.1,0.5387,0
28,28399.29,416.87,27957.11,11.5,3,4,15.3,0.0147,0
45,58105.48,35127.4,20764.6,2.5,4,4,12.7,0.6045,0
42,15028.54,3190.17,5369.93,4.6,2,3,9.6,0.2123,0
32,17023.3,4222.08,52092.55,10.3,1,5,9.6,0.248,0
40,22799.07,9628.68,56586.67,6.5,0,4,5.0,0.4223,1
35,38077.48,6577.52,11079.99,9.5,1,6,11.7,0.1727,1
41,24719.59,17491.01,9931.25,10.4,1,7,5.9,0.7076,0
47,53929.48,3683.12,21805.76,11.4,3,4,7.7,0.0683,0
59,67247.61,23906.92,20757.24,13.5,2,4,14.2,0.3555,0
25,52038.89,35362.39,11366.7,13.6,1,2,13.2,0.6795,0
65,95920.27,47257.53,4914.67,3.9,1,6,20.9,0.4927,0
18,46606.53,10899.57,17061.18,7.3,0,3,9.7,0.2339,0
38,17498.35,5890.09,20767.6,7.2,4,2,7.4,0.3366,0
47,82291.73,46524.08,23876.67,7.8,3,2,0.6,0.5654,0
43,25258.2,19666.25,17666.65,6.8,1,0,10.0,0.7786,0
32,62708.43,44805.86,10754.8,8.1,4,3,1.9,0.7145,0
37,93362.08,25576.19,29590.29,5.5,0,5,9.8,0.2739,0
34,47763.3,38141.78,14082.37,13.0,2,2,2.6,0.7986,0
32,14798.85,41.49,9210.15,10.4,0,7,5.6,0.0028,0
50,20932.8,462.69,11561.98,5.4,2,2,3.7,0.0221,0
44,80309.78,52929.96,3305.11,8.2,0,8,5.3,0.6591,0
31,32811.24,5235.69,11547.3,20.9,1,5,4.9,0.1596,0
50,38091.41,1851.83,23173.14,4.1,2,5,13.2,0.0486,0
43,57256.4,10862.6,17532.76,4.7,3,1,4.3,0.1897,0
49,55148.99,18799.19,45095.21,13.3,1,2,0.5,0.3409,0
47,42928.01,25089.4,10825.07,18.4,3,2,5.7,0.5845,0
30,32041.88,16003.91,19729.11,9.7,3,3,9.8,0.4995,0
33,30103.57,5722.6,25189.74,8.5,3,3,11.9,0.1901,0
48,60763.18,24464.25,87054.15,3.6,3,4,15.3,0.4026,1
47,50622.01,37509.46,15000.1,6.1,0,6,8.2,0.741,0
39,31120.44,20290.72,5794.42,5.9,0,3,6.6,0.652,0
41,69512.88,17972.68,26326.81,6.2,2,4,5.6,0.2586,0
55,33610.02,26411.15,59431.63,5.0,2,4,7.7,0.7858,1
32,21785.56,12350.15,10321.26,3.4,3,6,5.6,0.5669,0
46,23031.49,1150.64,26182.99,,0,5,18.2,0.05,0
37,20186.22,567.81,35702.73,10.1,1,3,6.8,0.0281,0
37,30839.57,4154.9,30141.33,3.5,1,5,12.6,0.1347,1
53,76132.81,44330.97,14771.38,8.3,0,1,14.8,0.5823,1
49,22402.84,3293.02,7640.52,6.7,0,3,14.2,0.147,0
49,40663.47,16639.06,12518.67,19.6,3,5,11.8,0.4092,0
55,24489.17,1827.09,19281.1,16.0,2,6,9.2,0.0746,0
40,31064.3,22885.35,27627.81,19.6,1,9,2.2,0.7367,0
48,14676.1,4038.4,17451.07,6.1,0,7,17.8,0.2752,0
36,31814.49,23113.41,9858.35,2.3,2,4,6.6,0.7265,0
43,32330.84,24438.9,20833.21,3.9,2,7,9.9,0.7559,0
38,50220.21,246.23,26584.09,6.1,2,3,9.9,0.0049,0
41,41521.58,15417.3,18100.38,7.0,2,4,7.2,0.3713,0
47,17693.71,349.01,6843.47,19.8,1,3,8.2,0.0197,0
30,,50595.97,11555.02,,0,1,8.2,0.727,0
65,41199.52,17086.51,28517.03,10.1,0,3,8.8,0.4147,0
27,40906.17,2452.54,4418.63,16.1,4,4,6.1,0.06,0
25,36115.98,3186.2,2503.53,11.1,1,2,,0.0882,0
53,26618.07,8166.62,44643.6,12.5,1,4,5.4,0.3068,1
49,41385.32,31129.51,20113.21,6.7,3,4,11.1,0.7522,0
47,48308.03,26778.46,21706.87,3.0,3,1,2.5,0.5543,0
47,12731.86,8837.12,5645.12,2.6,4,6,7.1,0.6941,0
39,26284.73,7705.77,24101.33,2.6,2,4,7.3,0.2932,0
29,31164.4,1077.38,16650.56,11.7,0,5,12.8,0.0346,0
40,42349.1,33009.18,3761.37,4.8,1,3,7.3,0.7795,1
31,74308.94,1020.89,41748.83,6.7,1,1,3.1,0.0137,0
51,22855.69,17327.39,15168.05,3.2,1,7,5.0,0.7581,0
38,26936.11,7944.59,9731.59,14.9,0,5,8.2,0.2949,0
30,26701.62,215.54,9873.49,8.0,1,4,9.8,0.0081,0
36,22450.84,12377.73,2664.64,9.3,0,2,13.1,0.5513,0
44,29486.51,23130.17,21475.53,9.8,2,4,6.5,0.7844,0
33,57669.36,44549.61,16473.13,10.5,1,3,9.5,0.7725,0
30,19296.88,2484.47,11438.45,15.4,1,5,6.5,0.1287,0
42,46942.97,6806.65,37152.57,12.0,3,4,4.0,0.145,0
42,13080.25,5917.91,4415.66,4.2,1,3,14.1,0.4524,0
33,25931.07,13220.8,8288.15,4.7,0,3,15.9,0.5098,0
34,29801.27,17628.47,6768.22,30.9,2,5,5.7,0.5915,0
42,99202.23,14368.48,10688.93,13.8,1,3,10.5,0.1448,0
22,30795.34,23626.36,14100.65,25.2,3,2,12.4,0.7672,0
23,9693.92,4953.51,18845.15,,0,5,3.4,0.511,0
31,10945.31,7416.95,10121.54,18.4,0,6,12.9,0.6776,0
37,37064.61,16013.86,6621.75,10.7,4,4,,0.4321,0
43,52483.94,17394.3,51472.63,9.6,1,2,4.8,0.3314,1
57,45491.17,35562.55,91978.69,,0,5,2.3,0.7817,1
50,40156.6,18700.81,14982.37,12.8,1,3,7.0,0.4657,0
38,72937.32,50581.95,7292.31,11.0,2,3,13.1,0.6935,0
39,26271.64,20035.64,43493.35,7.2,0,3,17.7,0.7626,0
27,62127.64,33566.55,4198.97,5.6,1,4,7.1,0.5403,0
39,13640.4,5990.19,10220.81,7.4,1,2,11.5,0.4392,0
36,21100.06,59.26,7654.94,8.1,1,6,5.7,0.0028,0
43,12280.59,393.17,5283.65,6.3,2,3,10.3,0.032,0
30,30794.54,4948.1,10678.42,4.5,3,4,4.4,0.1607,0
46,35321.36,5256.06,6691.96,8.4,2,3,18.5,0.1488,0
58,38888.77,7925.8,13495.66,10.3,0,4,6.5,0.2038,0
38,37689.24,9194.2,13653.37,9.5,0,5,4.9,0.2439,0
44,20815.81,5996.04,8126.9,3.8,1,5,5.7,0.2881,0
48,32398.11,10899.7,9932.72,,1,3,20.2,0.3364,0
35,14787.42,1169.58,11106.89,22.2,3,1,11.2,0.0791,0
42,82284.45,2788.58,25536.83,11.6,0,1,14.5,0.0339,1
40,30267.33,16318.8,11863.91,13.0,1,3,6.1,0.5392,0
41,27083.18,11642.19,25842.13,9.3,1,3,3.6,0.4299,0
30,94217.78,33477.02,21346.66,9.9,0,3,2.0,0.3553,0
40,17234.22,8747.26,21104.14,2.4,1,5,3.3,0.5076,0
45,18483.76,12238.9,40549.42,7.6,3,9,15.0,0.6621,0
57,18812.33,6436.72,5456.09,7.7,0,2,12.1,0.3422,0
51,34866.34,17882.79,9149.49,21.8,1,3,15.3,0.5129,0
65,47050.6,35892.92,54755.83,6.8,2,6,7.7,0.7629,1
30,56602.32,38019.76,10874.18,19.3,3,4,12.4,0.6717,0
50,169939.4,57915.46,1405.15,8.2,3,5,8.8,0.3408,0
42,9417.65,4857.37,11357.41,6.2,0,3,11.0,0.5158,1
66,52325.62,7412.28,14882.65,2.6,0,5,5.1,0.1417,0
30,25996.62,11657.35,1646.34,9.8,0,1,8.5,0.4484,0
29,25543.83,20053.51,38837.77,5.0,0,5,11.7,0.7851,1
32,25037.67,10381.92,7547.94,2.8,0,4,17.2,0.4147,0
18,21051.73,15622.71,17376.09,11.6,1,3,18.5,0.7421,0
33,99779.19,32514.84,11150.22,10.1,3,2,6.5,0.3259,0
30,,48102.0,4766.27,10.6,1,2,9.1,0.7991,0
41,36824.46,17063.57,5673.68,8.2,2,3,9.4,0.4634,0
44,81683.68,2762.15,6322.9,5.3,3,8,6.9,0.0338,0
62,14654.21,6878.74,31841.88,4.1,2,4,12.5,0.4694,0
51,16343.36,3589.95,11872.37,18.0,1,4,4.6,0.2197,0
33,9830.25,255.44,8800.01,12.1,0,5,11.4,0.026,0
